"Store_name_Store_name","Store_name_Address","Store_name_Hours"
"ALLAN'S YOUR INDEPENDENT GROCER","1900 Dixie Rd, Pickering, Ontario L1V 1V4","Open Now8:00 AM - 12:00 AM"
"VOS' YOUR INDEPENDENT GROCER PORT PERRY","1893 Scugog Street, Port Perry, Ontario L9L 1H9","Open Now7:00 AM - 10:00 PM"
"FISHER'S YOUR INDEPENDENT GROCER","B-30 Beaver Ave, Beaverton, Ontario L0K 1A0","Open Now8:00 AM - 10:00 PM"
"DAVIS' YOUR INDEPENDENT GROCER","20 Jocelyn Rd, Port Hope, Ontario L1A 3V5","Open Now8:00 AM - 9:00 PM"
"MORELLO'S YOUR INDEPENDENT GROCER PETERBOROUGH","400 Lansdowne St E, Peterborough, Ontario K9L 0B2","Open Now8:00 AM - 8:00 PM"
"WILKINSON'S YOUR INDEPENDENT GROCER","227 Main St, Delhi, Ontario N4B 2N4","Open Now8:00 AM - 9:00 PM"
"TREMBLETT'S YOUR INDEPENDENT GROCER","273 King St W, Ingersoll, Ontario N5C 2K9","Open Now6:00 AM - 12:00 AM"
"GRANT'S YOUR INDEPENDENT GROCER","832 Tenth St, Hanover, Ontario N4N 1S3","Open Now7:00 AM - 9:00 PM"
"MCDONALD'S YOUR INDEPENDENT GROCER","780 Queen St E, Po Box 220, St Mary's, Ontario N4X 1B1","Open Now8:00 AM - 9:00 PM"
