"Store_name_name","Store_name_Address","Store_name_Hours"
"CARMEN'S INDEPENDENT CITY MARKET","301 College St, Toronto, Ontario M5T 1S2","Open Now8:00 AM - 10:00 PM"
"BLOOR STREET INDEPENDENT CITY MARKET","55 Bloor St W, Toronto, Ontario M4W 1A5","Open Now8:00 AM - 9:00 PM"
"GEORGE'S INDEPENDENT CITY MARKET","3080 Yonge St, Toronto, Ontario M4N 3N1","Open Now7:00 AM - 10:00 PM"
